,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Scott Moore1B'],Houston Astros,4,1,0,0,1,2,5,.275,.293,.550,.843,23,12,-0.063,1.10,0.045,-0.108%,0%,0.01,-0.4,14,0,,7/14/2012
['Chris Johnson3B'],Houston Astros,5,0,1,0,0,1,5,.270,.315,.396,.711,22,13,-0.076,1.22,0.039,-0.115%,-0.00%,0.02,-0.3,0,1,,7/14/2012
['Justin MaxwellRF'],Houston Astros,4,1,1,1,0,2,4,.227,.320,.461,.781,10,8,-0.020,1.32,0.074,-0.095%,0%,0.02,0.3,3,0,2B,7/14/2012
['Wilton LopezP'],Houston Astros,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/14/2012
['Fernando Rodriguez Jr.P'],Houston Astros,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/14/2012
['Bud NorrisPH'],Houston Astros,1,0,0,0,0,0,1,.154,.179,.192,.371,5,3,-0.053,2.21,0.000,-0.053%,0%,0.03,-0.2,,,,7/14/2012
['Brett MyersP'],Houston Astros,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/14/2012
['Chris SnyderC'],Houston Astros,4,0,0,0,1,3,5,.192,.309,.323,.632,20,12,0.270,1.73,0.364,-0.094%,0.00%,0.02,0.5,9,0,,7/14/2012
['Lucas HarrellP'],Houston Astros,2,0,0,0,0,1,2,.212,.212,.212,.424,5,4,-0.060,1.30,0.000,-0.060%,-0.00%,0.01,-0.5,0,1,,7/14/2012
['Fernando AbadP'],Houston Astros,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,7/14/2012
['Brandon LyonP'],Houston Astros,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/14/2012
['Brian BogusevicPH'],Houston Astros,1,0,1,0,0,0,1,.220,.302,.337,.639,9,6,0.065,1.34,0.065,0.000%,0.00%,0.02,0.4,,,,7/14/2012
['Enerio Del RosarioP'],Houston Astros,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/14/2012
['Matt DownsPH-RF'],Houston Astros,2,0,1,0,0,0,2,.171,.220,.342,.563,8,6,0.010,1.84,0.068,-0.058%,0%,0.03,0.0,0,0,SB,7/14/2012
Team Totals,Houston Astros,43,2,7,1,2,16,46,.163,.200,.186,.386,175,113,-0.507,1.43,0.735,-1.243%,-0.00%,0.02,-3.1,33,11,,7/14/2012
['Jon JayCF'],St. Louis Cardinals,5,1,1,1,0,1,5,.317,.391,.411,.802,19,15,0.038,1.57,0.156,-0.118%,0.03%,2.04,0.7,1,0,SB,9/11/2012
['Carlos BeltranRF'],St. Louis Cardinals,4,0,0,0,1,0,5,.260,.332,.488,.820,19,8,-0.071,1.67,0.087,-0.157%,-0.06%,2.16,-1.0,2,0,,9/11/2012
['Matt HollidayLF'],St. Louis Cardinals,4,0,1,0,1,1,5,.303,.379,.522,.900,21,11,-0.100,1.86,0.033,-0.133%,-0.08%,2.41,-0.5,0,0,,9/11/2012
['Allen Craig1B'],St. Louis Cardinals,3,1,1,0,2,0,5,.306,.362,.536,.898,21,10,-0.077,2.06,0.101,-0.178%,-0.06%,2.66,0.2,7,1,,9/11/2012
['Yadier MolinaC'],St. Louis Cardinals,5,0,1,0,0,1,5,.318,.370,.498,.868,14,12,0.105,1.75,0.204,-0.100%,0.08%,2.26,1.2,11,2,,9/11/2012
['David Freese3B'],St. Louis Cardinals,4,1,1,1,1,1,5,.299,.372,.480,.852,22,12,0.034,1.38,0.145,-0.111%,0.03%,1.78,0.2,0,2,HR,9/11/2012
['Skip Schumaker2B'],St. Louis Cardinals,2,1,1,1,3,0,5,.290,.353,.392,.745,27,11,0.084,1.04,0.113,-0.029%,0.07%,1.34,0.6,1,3,,9/11/2012
['Pete KozmaSS'],St. Louis Cardinals,4,0,1,0,0,1,4,.400,.400,.667,1.067,20,14,-0.043,1.53,0.102,-0.145%,-0.03%,1.98,-0.4,1,1,GDP,9/11/2012
['Matt CarpenterPH'],St. Louis Cardinals,1,0,0,0,0,1,1,.302,.369,.479,.849,4,4,-0.033,1.21,0.000,-0.033%,-0.03%,1.56,-0.3,,,,9/11/2012
['Adam WainwrightP'],St. Louis Cardinals,3,0,0,0,0,2,3,.138,.180,.224,.404,8,8,-0.114,1.41,0.000,-0.114%,-0.09%,1.82,-1.1,1,0,,9/11/2012
['Trevor RosenthalP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/11/2012
['Shane RobinsonPH'],St. Louis Cardinals,1,0,0,0,0,0,1,.253,.310,.344,.654,5,3,0.089,2.12,0.089,0.000%,0.07%,2.74,0.4,,,,9/11/2012
['Edward MujicaP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,9/11/2012
Team Totals,St. Louis Cardinals,36,4,7,3,8,8,44,.194,.341,.278,.619,180,108,-0.088,1.59,1.030,-1.118%,-0.07%,2.05,0.1,24,10,,9/11/2012
['Jon JayCF'],St. Louis Cardinals,5,1,1,1,0,1,5,.172,.219,.241,.460,13,12,-0.011,0.69,0.055,-0.066,-0.14%,17.93,-0.0,3,,,10/14/2012
['Carlos BeltránRF'],St. Louis Cardinals,4,1,1,2,0,0,4,.385,.469,.846,1.315,13,8,0.029,0.47,0.067,-0.038,0.53%,12.16,1.4,3,,HR,10/14/2012
['Matt HollidayLF'],St. Louis Cardinals,4,0,1,0,0,0,4,.250,.344,.393,.737,15,9,0.015,0.40,0.032,-0.017,0.28%,10.41,0.1,4,,SB,10/14/2012
['Allen Craig1B'],St. Louis Cardinals,3,0,0,0,1,1,4,.308,.419,.538,.958,24,14,-0.033,0.72,0.025,-0.057,-0.50%,18.76,-0.4,6,1,,10/14/2012
['Yadier MolinaC'],St. Louis Cardinals,4,1,1,0,0,1,4,.120,.290,.120,.410,12,9,-0.010,0.72,0.037,-0.047,-0.22%,18.76,-0.1,7,,,10/14/2012
['David Freese3B'],St. Louis Cardinals,4,1,1,2,0,1,4,.360,.414,.600,1.014,19,11,0.141,0.81,0.203,-0.062,2.39%,21.11,0.8,1,,"HR,GDP",10/14/2012
['Daniel Descalso2B'],St. Louis Cardinals,4,1,2,0,0,1,4,.308,.321,.615,.937,12,10,0.025,0.46,0.049,-0.024,0.42%,12.02,0.2,1,1,2B,10/14/2012
['Pete KozmaSS'],St. Louis Cardinals,4,1,1,1,0,1,4,.208,.367,.417,.783,12,9,0.064,0.61,0.099,-0.035,1.07%,15.89,0.7,1,2,"2B,SB",10/14/2012
['Lance LynnP'],St. Louis Cardinals,1,0,0,0,1,1,2,.000,.500,.000,.500,11,6,-0.018,0.69,0.014,-0.033,-0.31%,18.16,-0.4,,1,,10/14/2012
['Joe KellyP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/14/2012
['Marc RzepczynskiP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/14/2012
['Skip SchumakerPH'],St. Louis Cardinals,1,0,0,0,0,0,1,.000,.000,.000,.000,3,1,-0.007,0.27,0.000,-0.007,-0.11%,7.06,-0.1,,,,10/14/2012
['Trevor RosenthalP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,,10/14/2012
['Edward MujicaP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/14/2012
['Mitchell BoggsP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,,10/14/2012
['Shane RobinsonPH'],St. Louis Cardinals,1,0,0,0,0,0,1,.000,.250,.000,.250,4,3,-0.004,0.16,0.000,-0.004,-0.07%,4.18,-0.1,,,,10/14/2012
['Jason MotteP'],St. Louis Cardinals,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,1,,,10/14/2012
Team Totals,St. Louis Cardinals,35,6,8,6,2,7,37,.229,.270,.457,.727,138,92,0.191,0.59,0.581,-0.390,3.34%,15.38,2.2,27,7,,10/14/2012
['Matt Carpenter2B'],St. Louis Cardinals,5,1,1,0,0,0,5,.297,.382,.434,.816,22,14,0.007,0.39,0.034,-0.027%,0.01%,0.48,-0.1,0,2,,5/24/2013
['Carlos BeltranRF'],St. Louis Cardinals,2,2,0,0,2,0,4,.301,.341,.512,.853,14,5,0.030,0.62,0.054,-0.024%,0.02%,0.76,0.6,1,0,,5/24/2013
['Randy ChoateP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,5/24/2013
['Tony CruzPH-C'],St. Louis Cardinals,1,0,0,0,0,0,1,.167,.231,.167,.397,1,1,0.000,0.00,0.000,0.000%,0%,0.00,-0.1,1,0,,5/24/2013
['Matt HollidayLF'],St. Louis Cardinals,4,0,0,0,1,0,5,.263,.347,.425,.773,23,12,-0.032,0.51,0.002,-0.034%,-0.02%,0.63,-0.1,1,0,,5/24/2013
['Mitchell BoggsP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,5/24/2013
['Allen Craig1B-LF'],St. Louis Cardinals,4,1,2,3,0,0,5,.309,.356,.463,.819,16,9,0.179,0.68,0.202,-0.022%,0.13%,0.83,3.0,8,1,"HR,2B,HBP",5/24/2013
['Yadier MolinaC'],St. Louis Cardinals,2,0,0,1,1,0,4,.329,.368,.428,.795,16,10,-0.009,0.35,0.009,-0.018%,-0.01%,0.43,-0.1,10,1,SF,5/24/2013
['Seth ManessP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,,5/24/2013
['Ty WiggintonPH-1B'],St. Louis Cardinals,1,0,0,0,0,0,1,.182,.270,.212,.482,6,3,0.000,0.00,0.000,0.000%,0%,0.00,-0.1,0,0,,5/24/2013
['Jon JayCF'],St. Louis Cardinals,4,2,1,0,0,1,4,.278,.351,.407,.759,16,9,-0.003,0.42,0.021,-0.024%,-0.00%,0.52,-0.6,1,0,,5/24/2013
['David Freese3B'],St. Louis Cardinals,3,1,2,3,1,1,4,.236,.308,.330,.638,19,11,0.151,0.52,0.172,-0.022%,0.11%,0.64,2.6,1,1,"HR,2B",5/24/2013
['Pete KozmaSS'],St. Louis Cardinals,3,0,0,0,1,2,4,.260,.325,.313,.639,20,9,-0.003,0.46,0.010,-0.013%,-0.00%,0.56,-1.0,3,4,,5/24/2013
['Lance LynnP'],St. Louis Cardinals,3,0,0,0,0,3,3,.059,.158,.059,.217,16,10,-0.053,0.67,0.000,-0.053%,-0.04%,0.83,-0.7,0,0,,5/24/2013
['Shane RobinsonRF'],St. Louis Cardinals,1,0,0,0,0,0,1,.171,.356,.171,.527,1,1,0.000,0.01,0.000,0.000%,0%,0.01,-0.2,0,0,,5/24/2013
Team Totals,St. Louis Cardinals,33,7,6,7,6,7,41,.182,.317,.424,.741,170,94,0.267,0.47,0.504,-0.237%,0.20%,0.58,3.2,27,9,,5/24/2013
['Jacoby EllsburyCF'],Boston Red Sox,4,2,3,0,0,0,4,.299,.358,.426,.783,12,8,0.118,0.72,0.129,-0.011%,0.13%,1.29,1.3,4,0,"2B,SB",8/21/2013
['Daniel NavaPH-RF'],Boston Red Sox,1,1,0,0,0,0,1,.294,.380,.434,.814,1,1,0.000,0.00,0.000,0.000%,0%,0.00,0.2,1,0,,8/21/2013
['Shane VictorinoRF-CF'],Boston Red Sox,5,1,3,1,0,1,5,.290,.341,.420,.761,18,11,0.059,0.62,0.104,-0.046%,0.06%,1.11,1.4,4,0,2B,8/21/2013
['Dustin Pedroia2B'],Boston Red Sox,4,2,2,1,0,0,4,.294,.372,.408,.780,16,10,0.059,0.80,0.096,-0.037%,0.06%,1.44,1.4,1,1,2·2B,8/21/2013
['Xander Bogaerts3B'],Boston Red Sox,1,0,0,0,0,0,1,.000,.000,.000,.000,3,1,0.000,0.00,0.000,0.000%,0%,0.00,1.3,0,0,,8/21/2013
['David Ortiz1B'],Boston Red Sox,3,0,0,0,0,2,3,.320,.401,.576,.978,14,9,-0.076,0.85,0.000,-0.076%,-0.08%,1.51,-1.1,3,1,,8/21/2013
['Mike Napoli1B'],Boston Red Sox,2,0,0,0,0,1,2,.244,.335,.435,.770,6,6,-0.007,0.14,0.000,-0.007%,-0.01%,0.24,-1.9,4,0,GDP,8/21/2013
['Jonny GomesLF'],Boston Red Sox,4,1,1,2,1,3,5,.236,.343,.422,.765,23,14,0.058,0.45,0.082,-0.025%,0.06%,0.80,0.8,2,0,,8/21/2013
['Jarrod SaltalamacchiaC'],Boston Red Sox,4,2,1,2,1,0,5,.272,.342,.453,.795,20,12,0.030,0.27,0.041,-0.011%,0.03%,0.48,1.4,4,0,,8/21/2013
['Stephen DrewSS'],Boston Red Sox,5,1,1,3,0,0,5,.246,.325,.427,.752,23,14,-0.034,0.33,0.005,-0.039%,-0.04%,0.60,2.0,3,4,HR,8/21/2013
['Will Middlebrooks3B-2B'],Boston Red Sox,3,2,1,2,1,0,4,.228,.279,.435,.714,17,9,0.233,0.30,0.235,-0.002%,0.25%,0.53,2.0,1,2,HR,8/21/2013
['Felix DoubrontP'],Boston Red Sox,3,0,0,0,0,1,4,.000,.000,.000,.000,15,9,-0.012,0.20,0.000,-0.012%,-0.01%,0.36,-0.5,0,2,SH,8/21/2013
['Koji UeharaP'],Boston Red Sox,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/21/2013
Team Totals,Boston Red Sox,39,12,12,11,3,8,43,.308,.357,.564,.921,168,104,0.428,0.45,0.692,-0.266%,0.46%,0.81,8.3,27,10,,8/21/2013
['Chris DenorfiaRF-LF'],San Diego Padres,5,0,2,1,0,1,5,.276,.332,.389,.721,19,13,-0.067,1.00,0.030,-0.097%,0%,0.00,0.2,2,0,,8/30/2013
['Will VenableCF-RF'],San Diego Padres,5,0,1,0,0,1,5,.279,.320,.515,.835,16,12,-0.037,0.91,0.045,-0.082%,0%,0.00,-0.7,2,0,,8/30/2013
['Jedd Gyorko2B'],San Diego Padres,4,0,1,0,0,1,4,.247,.292,.432,.724,18,11,-0.132,0.93,0.001,-0.133%,0%,0.00,-0.5,0,2,"2B,GDP",8/30/2013
['Yonder Alonso1B'],San Diego Padres,3,0,1,0,0,0,3,.281,.341,.368,.710,12,9,-0.018,0.76,0.025,-0.042%,0%,0.00,-0.2,7,0,,8/30/2013
['Rey FuentesPH-CF'],San Diego Padres,1,0,0,0,0,0,1,.000,.000,.000,.000,2,2,-0.001,0.05,0.000,-0.001%,0%,0.00,-0.4,0,0,,8/30/2013
['Jesus GuzmanLF-1B'],San Diego Padres,4,1,1,0,0,1,4,.242,.314,.411,.725,17,11,-0.014,0.58,0.026,-0.040%,0%,0.00,-0.5,8,0,,8/30/2013
['Logan Forsythe3B'],San Diego Padres,3,0,1,1,0,1,3,.226,.293,.344,.637,8,5,0.130,0.83,0.148,-0.018%,0%,0.00,1.1,1,1,2B,8/30/2013
['Anthony BassP'],San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/30/2013
['Mark KotsayPH'],San Diego Padres,1,0,0,0,0,0,1,.202,.257,.240,.497,7,4,0.000,0.01,0.000,0.000%,0%,0.00,-0.3,,,,8/30/2013
['Colt HynesP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,8/30/2013
['Nick HundleyC'],San Diego Padres,4,0,1,0,0,1,4,.239,.296,.387,.683,20,12,-0.010,0.68,0.040,-0.050%,0%,0.00,-0.4,3,0,,8/30/2013
['Ronny CedenoSS'],San Diego Padres,3,0,1,0,1,0,4,.229,.266,.313,.579,18,10,0.077,0.94,0.111,-0.034%,0%,0.00,0.5,1,2,,8/30/2013
['Eric StultsP'],San Diego Padres,1,0,0,0,0,0,2,.173,.173,.250,.423,5,4,-0.047,1.31,0.000,-0.047%,0%,0.00,-0.4,0,0,SH,8/30/2013
['Alexi Amarista3B'],San Diego Padres,2,1,2,0,0,0,2,.265,.306,.386,.692,11,8,-0.064,0.89,0.000,-0.064%,0%,0.00,-0.3,0,0,,8/30/2013
Team Totals,San Diego Padres,36,2,11,2,1,6,38,.306,.324,.361,.685,153,101,-0.183,0.83,0.426,-0.608%,0.00%,0.00,-1.8,24,6,,8/30/2013
['Matt Carpenter3B'],St. Louis Cardinals,4,0,1,0,0,1,4,.275,.372,.370,.742,26,19,-0.029,0.90,0.037,-0.066%,-0.03%,1.28,-0.0,0,3,,6/26/2014
['Matt HollidayLF'],St. Louis Cardinals,4,0,0,0,0,1,4,.269,.374,.393,.767,15,10,-0.187,1.57,0.000,-0.187%,-0.16%,2.25,-1.2,1,0,GDP,6/26/2014
['Matt Adams1B'],St. Louis Cardinals,3,0,1,0,1,2,4,.328,.340,.533,.873,14,9,0.084,0.93,0.109,-0.025%,0.07%,1.32,0.3,7,0,,6/26/2014
['Peter BourjosPR'],St. Louis Cardinals,0,0,0,0,0,0,0,.212,.279,.321,.600,,,-0.125,3.76,0.000,-0.125%,-0.11%,5.38,-0.4,,,CS,6/26/2014
['Jhonny PeraltaSS'],St. Louis Cardinals,4,0,1,0,0,0,4,.244,.323,.440,.763,18,12,-0.049,1.30,0.039,-0.088%,-0.04%,1.86,-0.1,0,2,,6/26/2014
['Yadier MolinaC'],St. Louis Cardinals,2,0,0,0,1,0,3,.282,.334,.398,.733,10,4,-0.051,1.41,0.011,-0.062%,-0.04%,2.01,-0.4,7,1,,6/26/2014
['Allen CraigRF'],St. Louis Cardinals,3,0,1,0,0,1,3,.260,.307,.377,.684,15,10,-0.026,1.37,0.043,-0.069%,-0.02%,1.96,-0.4,1,0,2B,6/26/2014
['Jon JayCF'],St. Louis Cardinals,3,0,1,0,0,0,3,.300,.362,.389,.751,13,8,-0.124,1.58,0.000,-0.124%,-0.11%,2.26,-0.8,2,0,,6/26/2014
['Mark Ellis2B'],St. Louis Cardinals,3,0,0,0,0,2,3,.197,.286,.230,.515,11,10,-0.087,1.21,0.000,-0.087%,-0.07%,1.74,-0.5,5,3,,6/26/2014
['Adam WainwrightP'],St. Louis Cardinals,3,0,0,0,0,0,3,.265,.306,.353,.658,8,6,-0.061,0.85,0.000,-0.061%,-0.05%,1.22,-0.4,1,0,,6/26/2014
Team Totals,St. Louis Cardinals,29,0,5,0,2,7,31,.172,.226,.207,.433,130,88,-0.655,1.31,0.239,-0.894%,-0.56%,1.87,-3.8,24,9,,6/26/2014
['Jose ReyesSS'],Toronto Blue Jays,4,1,1,0,0,1,4,.257,.311,.396,.707,15,10,-0.043,0.99,0.036,-0.080%,-0.04%,1.58,-0.3,2,0,,7/5/2014
['Melky CabreraLF'],Toronto Blue Jays,4,0,2,0,0,0,4,.299,.345,.464,.809,14,10,0.070,0.94,0.114,-0.044%,0.07%,1.51,0.7,3,0,,7/5/2014
['Jose BautistaDH'],Toronto Blue Jays,4,0,1,0,0,1,4,.300,.423,.529,.952,22,16,-0.123,1.02,0.000,-0.123%,-0.12%,1.64,-1.1,,,2B,7/5/2014
['Edwin Encarnacion1B'],Toronto Blue Jays,1,0,0,1,0,0,1,.277,.368,.591,.959,5,4,0.014,1.93,0.014,0.000%,0.01%,3.08,0.1,,,,7/5/2014
['Adam LindPR-1B'],Toronto Blue Jays,3,0,0,0,0,1,3,.333,.403,.509,.912,12,9,-0.046,0.62,0.000,-0.046%,-0.04%,0.99,-0.5,5,0,,7/5/2014
['Dioner NavarroC'],Toronto Blue Jays,4,0,0,0,0,2,4,.260,.302,.357,.659,17,11,-0.074,0.73,0.000,-0.074%,-0.07%,1.16,-0.7,5,0,,7/5/2014
['Colby RasmusCF'],Toronto Blue Jays,3,0,0,0,1,2,4,.219,.274,.471,.744,18,9,0.005,0.55,0.039,-0.034%,0.01%,0.88,-0.2,3,0,,7/5/2014
['Brad GlennRF'],Toronto Blue Jays,2,0,1,0,1,0,3,.067,.125,.067,.192,11,6,0.046,1.13,0.087,-0.041%,0.04%,1.80,0.5,5,0,,7/5/2014
['Juan Francisco3B'],Toronto Blue Jays,3,0,0,0,0,1,3,.234,.311,.511,.822,14,10,-0.107,1.42,0.000,-0.107%,-0.10%,2.27,-0.9,0,3,,7/5/2014
['Munenori Kawasaki2B'],Toronto Blue Jays,2,0,0,0,0,1,3,.250,.329,.294,.623,8,6,-0.089,1.33,0.000,-0.089%,-0.09%,2.13,-0.7,1,2,SH,7/5/2014
[''],Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,,,,,7/5/2014
['Mark BuehrleP'],Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,,0,0,,7/5/2014
['Todd RedmondP'],Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,,0,0,,7/5/2014
['Sergio SantosP'],Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,,0,0,,7/5/2014
['Brett CecilP'],Toronto Blue Jays,,,,,,,,,,,,,,,,,,,,,0,0,,7/5/2014
Team Totals,Toronto Blue Jays,30,1,5,1,2,9,33,.167,.219,.200,.419,136,91,-0.347,0.99,0.290,-0.638%,-0.33%,1.57,-3.1,24,5,,7/5/2014
['Denard SpanCF'],Washington Nationals,4,0,2,0,0,2,4,.270,.317,.388,.706,14,9,0.037,0.59,0.060,-0.023%,0.03%,0.97,0.1,3,0,SB,7/11/2014
['Anthony Rendon2B'],Washington Nationals,3,0,0,0,1,0,4,.283,.339,.486,.825,13,6,-0.113,0.86,0.006,-0.119%,-0.11%,1.41,-1.0,0,3,GDP,7/11/2014
['Jayson WerthRF'],Washington Nationals,3,1,0,0,1,1,4,.275,.360,.423,.783,22,11,-0.015,0.41,0.017,-0.032%,-0.01%,0.67,-0.3,1,0,,7/11/2014
['Adam LaRoche1B'],Washington Nationals,3,0,1,0,1,0,4,.290,.395,.475,.870,16,9,0.047,0.56,0.071,-0.024%,0.05%,0.92,0.5,4,2,2B,7/11/2014
['Ryan Zimmerman3B'],Washington Nationals,3,0,1,1,1,0,4,.272,.340,.432,.772,16,9,0.001,0.62,0.030,-0.029%,0.00%,1.01,0.8,2,0,2B,7/11/2014
['Bryce HarperLF'],Washington Nationals,4,1,1,1,0,0,4,.246,.321,.373,.693,5,4,-0.078,0.80,0.024,-0.102%,-0.08%,1.30,-0.3,1,1,HR,7/11/2014
['Wilson RamosC'],Washington Nationals,4,0,1,0,0,1,4,.292,.340,.416,.756,17,10,-0.031,0.72,0.028,-0.059%,-0.03%,1.17,-0.4,11,0,,7/11/2014
['Danny EspinosaSS'],Washington Nationals,4,0,0,0,0,2,4,.210,.278,.337,.615,11,9,-0.060,0.64,0.000,-0.060%,-0.06%,1.05,-0.8,0,2,,7/11/2014
['Jordan ZimmermannP'],Washington Nationals,1,0,0,0,0,1,1,.200,.200,.200,.400,3,3,-0.016,0.65,0.000,-0.016%,-0.02%,1.06,-0.1,1,0,,7/11/2014
['Craig StammenP'],Washington Nationals,1,0,0,0,0,0,2,.200,.200,.400,.600,5,5,-0.018,0.47,0.000,-0.018%,-0.02%,0.78,-0.3,1,1,SH,7/11/2014
['Jerry BlevinsP'],Washington Nationals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/11/2014
['Nate McLouthPH'],Washington Nationals,1,0,0,0,0,0,1,.192,.306,.264,.570,4,2,-0.001,0.04,0.000,-0.001%,-0.00%,0.07,-0.1,,,,7/11/2014
Team Totals,Washington Nationals,31,2,6,2,4,7,36,.194,.286,.355,.641,126,77,-0.247,0.62,0.236,-0.483%,-0.25%,1.02,-2.0,24,9,,7/11/2014
['Billy HamiltonCF'],Cincinnati Reds,4,0,0,0,0,2,4,.278,.311,.414,.726,13,11,-0.171,1.57,0.000,-0.171%,-0.14%,2.15,-1.2,0,0,,7/20/2014
['Skip Schumaker2B'],Cincinnati Reds,3,0,2,1,1,1,4,.248,.298,.329,.627,16,9,0.096,1.85,0.252,-0.156%,0.08%,2.53,0.7,2,3,"2B,CS",7/20/2014
['Todd Frazier1B'],Cincinnati Reds,4,1,1,1,0,1,4,.289,.350,.500,.850,14,11,0.173,1.28,0.266,-0.093%,0.14%,1.75,0.2,7,1,HR,7/20/2014
['Jay BruceRF'],Cincinnati Reds,4,0,0,0,0,1,4,.221,.302,.393,.695,17,11,-0.119,1.21,0.000,-0.119%,-0.10%,1.65,-0.8,2,0,,7/20/2014
['Ryan LudwickDH'],Cincinnati Reds,3,0,1,0,1,1,4,.266,.327,.403,.730,24,14,0.028,0.85,0.077,-0.049%,0.02%,1.16,0.4,,,2B,7/20/2014
['Brayan PenaC'],Cincinnati Reds,4,0,0,0,0,1,4,.251,.284,.394,.678,14,8,-0.144,1.43,0.000,-0.144%,-0.12%,1.95,-0.9,11,0,,7/20/2014
['Chris HeiseyLF'],Cincinnati Reds,4,0,0,0,0,1,4,.237,.290,.385,.674,16,11,-0.149,1.45,0.000,-0.149%,-0.12%,1.97,-0.9,1,0,,7/20/2014
['Zack CozartSS'],Cincinnati Reds,4,1,0,0,0,0,4,.230,.280,.300,.580,16,11,-0.038,1.17,0.048,-0.086%,-0.03%,1.59,-0.1,1,3,,7/20/2014
['Ramon Santiago3B'],Cincinnati Reds,2,0,2,0,0,0,3,.279,.361,.337,.698,6,4,0.071,1.27,0.092,-0.021%,0.06%,1.73,0.4,0,1,"2B,SB,SH",7/20/2014
[''],Cincinnati Reds,,,,,,,,,,,,,,,,,,,,,,,,7/20/2014
['Johnny CuetoP'],Cincinnati Reds,,,,,,,,,,,,,,,,,,,,,1,0,,7/20/2014
['Manny ParraP'],Cincinnati Reds,,,,,,,,,,,,,,,,,,,,,0,0,,7/20/2014
['Sam LeCureP'],Cincinnati Reds,,,,,,,,,,,,,,,,,,,,,0,0,,7/20/2014
['Jonathan BroxtonP'],Cincinnati Reds,,,,,,,,,,,,,,,,,,,,,0,0,,7/20/2014
['Aroldis ChapmanP'],Cincinnati Reds,,,,,,,,,,,,,,,,,,,,,0,0,,7/20/2014
Team Totals,Cincinnati Reds,32,2,6,2,2,8,35,.188,.235,.375,.610,136,90,-0.253,1.35,0.735,-0.988%,-0.21%,1.85,-2.2,25,8,,7/20/2014
['Justin Turner2B'],Los Angeles Dodgers,4,1,1,0,2,1,6,.313,.382,.432,.815,27,11,0.021,0.38,0.046,-0.025%,0.02%,0.49,0.5,2,2,,8/7/2014
['Yasiel PuigCF'],Los Angeles Dodgers,5,1,2,0,0,2,5,.317,.401,.539,.940,19,13,0.042,0.58,0.066,-0.024%,0.03%,0.76,-0.6,1,0,,8/7/2014
['Adrian Gonzalez1B'],Los Angeles Dodgers,4,1,2,2,1,2,5,.259,.322,.432,.754,24,15,0.055,0.84,0.092,-0.038%,0.04%,1.10,2.0,15,0,,8/7/2014
['Hanley RamirezDH'],Los Angeles Dodgers,5,0,3,2,0,1,5,.277,.365,.455,.820,15,8,0.146,0.86,0.176,-0.031%,0.11%,1.13,1.9,,,2B,8/7/2014
['Matt KempRF'],Los Angeles Dodgers,2,1,1,1,2,1,5,.283,.350,.472,.822,19,7,0.084,0.79,0.086,-0.002%,0.07%,1.03,0.2,1,0,"SF,IW",8/7/2014
['Andre EthierRF'],Los Angeles Dodgers,0,0,0,0,0,0,0,.245,.308,.369,.677,,,,,,,,,,0,0,,8/7/2014
['Scott Van SlykeLF'],Los Angeles Dodgers,2,0,0,0,0,1,3,.247,.371,.494,.864,10,6,0.010,0.77,0.032,-0.022%,0.01%,1.01,-0.1,1,0,HBP,8/7/2014
['Carl CrawfordPH-LF'],Los Angeles Dodgers,2,1,0,0,0,1,2,.237,.272,.340,.611,8,6,-0.012,0.27,0.001,-0.013%,-0.01%,0.34,-0.1,0,0,,8/7/2014
