,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
Team Totals,Kansas City Royals,45,12,19,12,1,10,46,.422,.435,.822,1.257,173,124,0.522,0.44,0.784,-0.261%,0.00%,0.00,7.4,27,9,,9/25/2016
['Logan Forsythe3B'],Los Angeles Dodgers,3,0,0,0,1,1,4,.246,.384,.333,.717,15,6,-0.067,1.23,0.035,-0.103%,-0.05%,1.56,-0.3,0,3,,5/31/2017
['Corey SeagerSS'],Los Angeles Dodgers,3,1,1,0,1,1,4,.286,.390,.466,.856,16,10,0.049,1.08,0.096,-0.047%,0.04%,1.39,0.6,0,2,,5/31/2017
['Yasmani GrandalC'],Los Angeles Dodgers,4,0,1,0,0,3,4,.287,.351,.471,.822,17,13,-0.003,1.48,0.103,-0.107%,-0.00%,1.89,-0.3,6,0,,5/31/2017
['Adrian Gonzalez1B'],Los Angeles Dodgers,3,0,1,1,0,0,4,.263,.313,.350,.664,9,7,0.023,2.15,0.129,-0.106%,0.02%,2.74,-0.7,8,1,"SF,GDP",5/31/2017
['Brett EibnerPR'],Los Angeles Dodgers,0,0,0,0,0,0,0,.217,.280,.478,.758,,,,,,,,,,,,,5/31/2017
['Chase Utley2B'],Los Angeles Dodgers,4,0,0,0,0,1,4,.243,.336,.414,.750,14,10,-0.179,1.82,0.000,-0.179%,-0.14%,2.33,-0.9,2,2,,5/31/2017
['Cody BellingerLF'],Los Angeles Dodgers,3,0,0,0,1,1,4,.252,.324,.567,.891,16,7,-0.097,1.83,0.052,-0.149%,-0.07%,2.34,-0.3,1,0,,5/31/2017
['Chris TaylorCF'],Los Angeles Dodgers,4,0,1,0,0,2,4,.316,.412,.530,.942,15,12,-0.144,1.62,0.013,-0.157%,-0.11%,2.07,-0.6,3,0,,5/31/2017
['Enrique HernandezRF'],Los Angeles Dodgers,3,0,1,0,0,0,3,.255,.325,.528,.853,9,6,-0.023,1.10,0.042,-0.065%,-0.02%,1.41,-0.3,3,0,2B,5/31/2017
['Hyun Jin RyuP'],Los Angeles Dodgers,2,0,0,0,0,1,2,.250,.400,.333,.733,9,6,-0.059,1.09,0.000,-0.059%,-0.04%,1.40,-0.5,1,1,,5/31/2017
['Austin BarnesPH'],Los Angeles Dodgers,1,0,0,0,0,1,1,.273,.385,.545,.930,3,3,-0.062,2.18,0.000,-0.062%,-0.05%,2.79,-0.3,,,,5/31/2017
['Ross StriplingP'],Los Angeles Dodgers,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,1,,5/31/2017
Team Totals,Los Angeles Dodgers,30,1,5,1,3,11,34,.167,.235,.200,.435,123,80,-0.562,1.54,0.470,-1.034%,-0.43%,1.97,-3.6,24,10,,5/31/2017
['Chris TaylorCF'],Los Angeles Dodgers,3,0,1,0,1,1,4,.317,.414,.525,.939,22,16,0.077,1.13,0.116,-0.039%,0.06%,1.45,0.4,1,0,,6/1/2017
['Corey SeagerSS'],Los Angeles Dodgers,4,0,0,0,0,1,4,.280,.383,.456,.839,13,7,-0.192,1.56,0.000,-0.192%,-0.15%,2.01,-1.4,2,3,GDP,6/1/2017
['Cody BellingerLF'],Los Angeles Dodgers,4,0,1,0,0,0,4,.252,.322,.565,.887,19,12,-0.031,1.12,0.069,-0.100%,-0.02%,1.45,-0.2,1,0,2B,6/1/2017
['Adrian Gonzalez1B'],Los Angeles Dodgers,4,0,0,0,0,2,4,.255,.305,.340,.646,19,12,-0.143,1.30,0.000,-0.143%,-0.11%,1.68,-1.2,6,1,,6/1/2017
