,Year,Player,League,Details
295,1900,Rube Waddell,NL,"PIT 8-13, 2.37, 130 SO"
296,1899,Vic Willis,NL,"BSN 27-8 (2 SV), 2.50, 120 SO"
297,1898,Clark Griffith,NL,"CHC 24-10, 1.88, 97 SO"
298,1897,Amos Rusie,NL,"NYG 28-10, 2.54, 135 SO"
299,1896,Billy Rhines,NL,"CIN 8-6, 2.45, 32 SO"
300,1895,Al Maul,NL,"WHS 10-5, 2.45, 34 SO"
301,1894,Amos Rusie,NL,"NYG 36-13 (1 SV), 2.78, 195 SO"
302,1893,Theodore Breitenstein,NL,"STL 19-24 (1 SV), 3.18, 102 SO"
303,1892,Cy Young,NL,"CLV 36-12, 1.93, 168 SO"
304,1891,Ed Crane,AA,"CKK 14-14, 2.45, 122 SO"
305,1891,John Ewing,NL,"NYG 21-8, 2.27, 138 SO"
306,1890,Scott Stratton,AA,"LOU 34-14, 2.36, 207 SO"
307,1890,Billy Rhines,NL,"CIN 28-17, 1.95, 182 SO"
308,,Silver King,PL,"CHI 30-22, 2.69, 185 SO"
309,1889,Jack Stivetts,AA,"STL 12-7 (2 SV), 2.25, 143 SO"
310,1889,John Clarkson,NL,"BSN 49-19 (1 SV), 2.73, 284 SO"
311,1888,Silver King,AA,"STL 45-20, 1.63, 258 SO"
312,1888,Tim Keefe,NL,"NYG 35-12, 1.74, 335 SO"
313,1887,Elmer Smith,AA,"CIN 34-17, 2.94, 176 SO"
314,1887,Dan Casey,NL,"PHI 28-13, 2.86, 119 SO"
315,1886,Dave Foutz,AA,"STL 41-16 (1 SV), 2.11, 283 SO"
316,1886,Henry Boyle,NL,"SLM 9-15, 1.76, 101 SO"
317,1885,Bob Caruthers,AA,"STL 40-13, 2.07, 190 SO"
318,1885,Tim Keefe,NL,"NYG 32-13, 1.58, 227 SO"
319,1884,Guy Hecker,AA,"LOU 52-20, 1.80, 385 SO"
320,1884,Old Hoss Radbourn,NL,"PRO 60-12 (1 SV), 1.38, 441 SO"
321,,Jim McCormick,UA,"COR 21-3, 1.54, 161 SO"
322,1883,Will White,AA,"CIN 43-22, 2.09, 141 SO"
323,1883,Jim McCormick,NL,"CLV 28-12 (1 SV), 1.84, 145 SO"
324,1882,Denny Driscoll,AA,"PIT 13-9, 1.21, 59 SO"
325,1882,Larry Corcoran,NL,"CHC 27-12, 1.95, 170 SO"
326,1881,George Weidman,NL,"DTN 8-5, 1.80, 26 SO"
