,Name,,Voted By,Inducted As,Votes,% of Ballots,Year Elected
212,Yogi Berra,1925-2015,BBWAA,Player,339.0,85.6%,1972
213,Josh Gibson,1911-1947,Negro League,Player,,,1972
214,Lefty Gomez,1908-1989,Veterans,Player,,,1972
215,Will Harridge,1881-1971,Veterans,Pioneer/Executive,,,1972
216,Sandy Koufax,1935-Living,BBWAA,Player,344.0,86.9%,1972
217,Buck Leonard,1907-1997,Negro League,Player,,,1972
218,Early Wynn,1920-1999,BBWAA,Player,301.0,76.0%,1972
219,Ross Youngs,1897-1927,Veterans,Player,,,1972
220,Dave Bancroft,1891-1972,Veterans,Player,,,1971
221,Jake Beckley,1867-1918,Veterans,Player,,,1971
222,Chick Hafey,1903-1973,Veterans,Player,,,1971
223,Harry Hooper,1887-1974,Veterans,Player,,,1971
224,Joe Kelley,1871-1943,Veterans,Player,,,1971
225,Rube Marquard,1886-1980,Veterans,Player,,,1971
226,Satchel Paige,1906-1982,Negro League,Player,,,1971
227,George Weiss,1894-1972,Veterans,Pioneer/Executive,,,1971
228,Lou Boudreau,1917-2001,BBWAA,Player,232.0,77.3%,1970
229,Earle Combs,1899-1976,Veterans,Player,,,1970
230,Ford Frick,1894-1978,Veterans,Pioneer/Executive,,,1970
231,Jesse Haines,1893-1978,Veterans,Player,,,1970
232,Roy Campanella,1921-1993,BBWAA,Player,270.0,79.4%,1969
233,Stan Coveleski,1889-1984,Veterans,Player,,,1969
234,Waite Hoyt,1899-1984,Veterans,Player,,,1969
235,Stan Musial,1920-2013,BBWAA,Player,317.0,93.2%,1969
236,Kiki Cuyler,1898-1950,Veterans,Player,,,1968
237,Goose Goslin,1900-1971,Veterans,Player,,,1968
238,Joe Medwick,1911-1975,BBWAA,Player,240.0,84.8%,1968
239,Branch Rickey,1881-1965,Veterans,Pioneer/Executive,,,1967
240,Red Ruffing,1905-1986,Run Off,Player,266.0,86.9%,1967
241,Lloyd Waner,1906-1982,Veterans,Player,,,1967
242,Casey Stengel,1890-1975,Veterans,Manager,,,1966
243,Ted Williams,1918-2002,BBWAA,Player,282.0,93.4%,1966
244,Pud Galvin,1856-1902,Veterans,Player,,,1965
245,Luke Appling,1907-1991,Run Off,Player,189.0,94.0%,1964
246,Red Faber,1888-1976,Veterans,Player,,,1964
247,Burleigh Grimes,1893-1985,Veterans,Player,,,1964
248,Miller Huggins,1878-1929,Veterans,Manager,,,1964
249,Tim Keefe,1857-1933,Veterans,Player,,,1964
250,Heinie Manush,1901-1971,Veterans,Player,,,1964
251,John Ward,1860-1925,Veterans,Player,,,1964
252,John Clarkson,1861-1909,Veterans,Player,,,1963
253,Elmer Flick,1876-1971,Veterans,Player,,,1963
254,Sam Rice,1890-1974,Veterans,Player,,,1963
255,Eppa Rixey,1891-1963,Veterans,Player,,,1963
256,Bob Feller,1918-2010,BBWAA,Player,150.0,93.8%,1962
257,Bill McKechnie,1886-1965,Veterans,Manager,,,1962
