,Year,Player,League,Details
46,1999,Nomar Garciaparra,AL,BOS 135 G .357/.418/.603
47,1999,Larry Walker,NL,COL 127 G .379/.458/.710
48,1998,Bernie Williams,AL,NYY 128 G .339/.422/.575
49,1998,Larry Walker,NL,COL 130 G .363/.445/.630
50,1997,Frank Thomas,AL,CHW 146 G .347/.456/.611
51,1997,Tony Gwynn,NL,SDP 149 G .372/.409/.547
52,1996,Alex Rodriguez,AL,SEA 146 G .358/.414/.631
53,1996,Tony Gwynn,NL,SDP 116 G .353/.400/.441
54,1995,Edgar Martinez,AL,SEA 145 G .356/.479/.628
55,1995,Tony Gwynn,NL,SDP 135 G .368/.404/.484
56,1994,Paul O'Neill,AL,NYY 103 G .359/.460/.603
57,1994,Tony Gwynn,NL,SDP 110 G .394/.454/.568
58,1993,John Olerud,AL,TOR 158 G .363/.473/.599
59,1993,Andres Galarraga,NL,COL 120 G .370/.403/.602
60,1992,Edgar Martinez,AL,SEA 135 G .343/.404/.544
61,1992,Gary Sheffield,NL,SDP 146 G .330/.385/.580
62,1991,Julio Franco,AL,TEX 146 G .341/.408/.474
63,1991,Terry Pendleton,NL,ATL 153 G .319/.363/.517
64,1990,George Brett,AL,KCR 142 G .329/.387/.515
65,1990,Willie McGee,NL,STL 125 G .335/.382/.437
66,1989,Kirby Puckett,AL,MIN 159 G .339/.379/.465
67,1989,Tony Gwynn,NL,SDP 158 G .336/.389/.424
68,1988,Wade Boggs,AL,BOS 155 G .366/.476/.490
69,1988,Tony Gwynn,NL,SDP 133 G .313/.373/.415
70,1987,Wade Boggs,AL,BOS 147 G .363/.461/.588
71,1987,Tony Gwynn,NL,SDP 157 G .370/.447/.511
72,1986,Wade Boggs,AL,BOS 149 G .357/.453/.486
73,1986,Tim Raines,NL,MON 151 G .334/.413/.476
74,1985,Wade Boggs,AL,BOS 161 G .368/.450/.478
75,1985,Willie McGee,NL,STL 152 G .353/.384/.503
76,1984,Don Mattingly,AL,NYY 153 G .343/.381/.537
77,1984,Tony Gwynn,NL,SDP 158 G .351/.410/.444
78,1983,Wade Boggs,AL,BOS 153 G .361/.444/.486
79,1983,Bill Madlock,NL,PIT 130 G .323/.386/.444
80,1982,Willie Wilson,AL,KCR 136 G .332/.365/.431
81,1982,Al Oliver,NL,MON 160 G .331/.392/.514
82,1981,Carney Lansford,AL,BOS 102 G .336/.389/.439
83,1981,Bill Madlock,NL,PIT 82 G .341/.413/.495
84,1980,George Brett,AL,KCR 117 G .390/.454/.664
85,1980,Bill Buckner,NL,CHC 145 G .324/.353/.457
86,1979,Fred Lynn,AL,BOS 147 G .333/.423/.637
87,1979,Keith Hernandez,NL,STL 161 G .344/.417/.513
88,1978,Rod Carew,AL,MIN 152 G .333/.411/.441
89,1978,Dave Parker,NL,PIT 148 G .334/.394/.585
90,1977,Rod Carew,AL,MIN 155 G .388/.449/.570
91,1977,Dave Parker,NL,PIT 159 G .338/.397/.531
92,1976,George Brett,AL,KCR 159 G .333/.377/.462
93,1976,Bill Madlock,NL,CHC 142 G .339/.412/.500
94,1975,Rod Carew,AL,MIN 143 G .359/.421/.497
95,1975,Bill Madlock,NL,CHC 130 G .354/.402/.479
96,1974,Rod Carew,AL,MIN 153 G .364/.433/.446
97,1974,Ralph Garr,NL,ATL 143 G .353/.383/.503
98,1973,Rod Carew,AL,MIN 149 G .350/.411/.471
99,1973,Pete Rose,NL,CIN 160 G .338/.401/.437
100,1972,Rod Carew,AL,MIN 142 G .318/.369/.379
101,1972,Billy Williams,NL,CHC 150 G .333/.398/.606
102,1971,Tony Oliva,AL,MIN 126 G .337/.369/.546
103,1971,Joe Torre,NL,STL 161 G .363/.421/.555
104,1970,Alex Johnson,AL,CAL 156 G .329/.370/.459
105,1970,Rico Carty,NL,ATL 136 G .366/.454/.584
106,1969,Rod Carew,AL,MIN 123 G .332/.386/.467
107,1969,Pete Rose,NL,CIN 156 G .348/.428/.512
108,1968,Carl Yastrzemski,AL,BOS 157 G .301/.426/.495
109,1968,Pete Rose,NL,CIN 149 G .335/.391/.470
110,1967,Carl Yastrzemski,AL,BOS 161 G .326/.418/.622
111,1967,Roberto Clemente,NL,PIT 147 G .357/.400/.554
112,1966,Frank Robinson,AL,BAL 155 G .316/.410/.637
113,1966,Matty Alou,NL,PIT 141 G .342/.373/.421
114,1965,Tony Oliva,AL,MIN 149 G .321/.378/.491
115,1965,Roberto Clemente,NL,PIT 152 G .329/.378/.463
116,1964,Tony Oliva,AL,MIN 161 G .323/.359/.557
117,1964,Roberto Clemente,NL,PIT 155 G .339/.388/.484
118,1963,Carl Yastrzemski,AL,BOS 151 G .321/.418/.475
119,1963,Tommy Davis,NL,LAD 146 G .326/.359/.457
120,1962,Pete Runnels,AL,BOS 152 G .326/.408/.456
121,1962,Tommy Davis,NL,LAD 163 G .346/.374/.535
122,1961,Norm Cash,AL,DET 159 G .361/.487/.662
123,1961,Roberto Clemente,NL,PIT 146 G .351/.390/.559
124,1960,Pete Runnels,AL,BOS 143 G .320/.401/.394
125,1960,Dick Groat,NL,PIT 138 G .325/.371/.394
126,1959,Harvey Kuenn,AL,DET 139 G .353/.402/.501
127,1959,Henry Aaron,NL,MLN 154 G .355/.401/.636
128,1958,Ted Williams,AL,BOS 129 G .328/.458/.584
129,1958,Richie Ashburn,NL,PHI 152 G .350/.440/.441
130,1957,Ted Williams,AL,BOS 132 G .388/.526/.731
131,1957,Stan Musial,NL,STL 134 G .351/.422/.612
132,1956,Mickey Mantle,AL,NYY 150 G .353/.464/.705
133,1956,Henry Aaron,NL,MLN 153 G .328/.365/.558
134,1955,Al Kaline,AL,DET 152 G .340/.421/.546
