,Lineup Spot,Player,Position,Year
444,5,Jeff Heath,RF,1941: Game 1
445,6,Joe Cronin,SS,1941: Game 1
446,7,Rudy York,1B,1941: Game 1
447,8,Bill Dickey,C,1941: Game 1
448,9,Bob Feller,P,1941: Game 1
449,,Manager,,1941: Game 1
450,,Del Baker,,1941: Game 1
451,,Reserves,,1941: Game 1
452,,Frankie Hayes,C,1941: Game 1
453,,Birdie Tebbetts,C,1941: Game 1
454,,Jimmie Foxx,1B,1941: Game 1
455,,Joe Gordon,2B,1941: Game 1
456,,Ken Keltner,3B,1941: Game 1
457,,Luke Appling,SS,1941: Game 1
458,,Lou Boudreau,SS,1941: Game 1
459,,Roy Cullenbine,LF,1941: Game 1
460,,Charlie Keller,LF,1941: Game 1
461,,Dom DiMaggio,CF,1941: Game 1
462,,Al Benton,P,1941: Game 1
463,,Sid Hudson,P,1941: Game 1
464,,Thornton Lee,P,1941: Game 1
465,,Red Ruffing,P,1941: Game 1
466,,Marius Russo,P,1941: Game 1
467,,Eddie Smith,P,1941: Game 1
468,1,Lou Boudreau,SS,1942: Game 1
469,2,Tommy Henrich,RF,1942: Game 1
470,3,Ted Williams,LF,1942: Game 1
471,4,Joe DiMaggio,CF,1942: Game 1
472,5,Rudy York,1B,1942: Game 1
473,6,Joe Gordon,2B,1942: Game 1
474,7,Ken Keltner,3B,1942: Game 1
475,8,Birdie Tebbetts,C,1942: Game 1
476,9,Spud Chandler,P,1942: Game 1
477,,Manager,,1942: Game 1
478,,Joe McCarthy,,1942: Game 1
479,,Reserves,,1942: Game 1
480,,Bill Dickey,C,1942: Game 1
481,,Buddy Rosar,C,1942: Game 1
482,,Hal Wagner,C,1942: Game 1
483,,George McQuinn,1B,1942: Game 1
484,,Bobby Doerr,2B,1942: Game 1
485,,Phil Rizzuto,SS,1942: Game 1
486,,Bob Johnson,LF,1942: Game 1
487,,Dom DiMaggio,CF,1942: Game 1
488,,Stan Spence,CF,1942: Game 1
489,,Jim Bagby,P,1942: Game 1
490,,Al Benton,P,1942: Game 1
491,,Tiny Bonham,P,1942: Game 1
492,,Sid Hudson,P,1942: Game 1
493,,Tex Hughson,P,1942: Game 1
494,,Hal Newhouser,P,1942: Game 1
495,,Red Ruffing,P,1942: Game 1
496,,Eddie Smith,P,1942: Game 1
497,1,Jimmy Brown,2B,1942: Game 1
498,2,Arky Vaughan,3B,1942: Game 1
499,3,Pete Reiser,CF,1942: Game 1
500,4,Johnny Mize,1B,1942: Game 1
501,5,Mel Ott,RF,1942: Game 1
502,6,Joe Medwick,LF,1942: Game 1
503,7,Walker Cooper,C,1942: Game 1
504,8,Eddie Miller,SS,1942: Game 1
505,9,Mort Cooper,P,1942: Game 1
506,,Manager,,1942: Game 1
507,,Leo Durocher,,1942: Game 1
508,,Reserves,,1942: Game 1
509,,Ernie Lombardi,C,1942: Game 1
510,,Mickey Owen,C,1942: Game 1
511,,Frank McCormick,1B,1942: Game 1
512,,Billy Herman,2B,1942: Game 1
513,,Bob Elliott,3B,1942: Game 1
514,,Pee Wee Reese,SS,1942: Game 1
515,,Danny Litwhiler,LF,1942: Game 1
516,,Willard Marshall,LF,1942: Game 1
517,,Terry Moore,CF,1942: Game 1
518,,Enos Slaughter,RF,1942: Game 1
519,,Paul Derringer,P,1942: Game 1
520,,Carl Hubbell,P,1942: Game 1
521,,Cliff Melton,P,1942: Game 1
522,,Claude Passeau,P,1942: Game 1
523,,Ray Starr,P,1942: Game 1
524,,Johnny Vander Meer,P,1942: Game 1
525,,Bucky Walters,P,1942: Game 1
526,,Whit Wyatt,P,1942: Game 1
527,1,Stan Hack,3B,1943: Game 1
528,2,Billy Herman,2B,1943: Game 1
529,3,Stan Musial,LF,1943: Game 1
530,4,Bill Nicholson,RF,1943: Game 1
531,5,Elbie Fletcher,1B,1943: Game 1
532,6,Walker Cooper,C,1943: Game 1
533,7,Harry Walker,CF,1943: Game 1
534,8,Marty Marion,SS,1943: Game 1
535,9,Mort Cooper,P,1943: Game 1
536,,Manager,,1943: Game 1
537,,Billy Southworth,,1943: Game 1
538,,Reserves,,1943: Game 1
539,,Ernie Lombardi,C,1943: Game 1
540,,Mickey Owen,C,1943: Game 1
541,,Frank McCormick,1B,1943: Game 1
542,,Lonny Frey,2B,1943: Game 1
543,,Babe Dahlgren,3B,1943: Game 1
544,,Whitey Kurowski,3B,1943: Game 1
