,Lineup Spot,Player,Position,Year
631,,Whitey Kurowski,3B,1944: Game 1
632,,Eddie Miller,SS,1944: Game 1
633,,Frankie Zak,SS,1944: Game 1
634,,Joe Medwick,LF,1944: Game 1
635,,Vince DiMaggio,CF,1944: Game 1
636,,Bill Nicholson,RF,1944: Game 1
637,,Mel Ott,RF,1944: Game 1
638,,Nate Andrews,P,1944: Game 1
639,,Al Javery,P,1944: Game 1
640,,Max Lanier,P,1944: Game 1
641,,Red Munger,P,1944: Game 1
642,,Ken Raffensberger,P,1944: Game 1
643,,Rip Sewell,P,1944: Game 1
644,,Jim Tobin,P,1944: Game 1
645,,Bill Voiselle,P,1944: Game 1
646,1,Red Schoendienst,2B,1946: Game 1
647,2,Stan Musial,LF,1946: Game 1
648,3,Johnny Hopp,CF,1946: Game 1
649,4,Dixie Walker,RF,1946: Game 1
650,5,Whitey Kurowski,3B,1946: Game 1
651,6,Johnny Mize,1B,1946: Game 1
652,7,Walker Cooper,C,1946: Game 1
653,8,Marty Marion,SS,1946: Game 1
654,9,Claude Passeau,P,1946: Game 1
655,,Manager,,1946: Game 1
656,,Charlie Grimm,,1946: Game 1
657,,Reserves,,1946: Game 1
658,,Ray Lamanno,C,1946: Game 1
659,,Phil Masi,C,1946: Game 1
660,,Frank McCormick,1B,1946: Game 1
661,,Frankie Gustine,2B,1946: Game 1
662,,Emil Verban,2B,1946: Game 1
663,,Eddie Miller,SS,1946: Game 1
664,,Pee Wee Reese,SS,1946: Game 1
665,,Del Ennis,LF,1946: Game 1
666,,Peanuts Lowrey,LF,1946: Game 1
667,,Pete Reiser,LF,1946: Game 1
668,,Phil Cavarretta,RF,1946: Game 1
669,,Enos Slaughter,RF,1946: Game 1
670,,Ewell Blackwell,P,1946: Game 1
671,,Mort Cooper,P,1946: Game 1
672,,Kirby Higbe,P,1946: Game 1
673,,Howie Pollet,P,1946: Game 1
674,,Johnny Schmitz,P,1946: Game 1
675,,Rip Sewell,P,1946: Game 1
676,1,Dom DiMaggio,CF,1946: Game 1
677,2,Johnny Pesky,SS,1946: Game 1
678,3,Ted Williams,LF,1946: Game 1
679,4,Charlie Keller,RF,1946: Game 1
680,5,Bobby Doerr,2B,1946: Game 1
681,6,Mickey Vernon,1B,1946: Game 1
682,7,Ken Keltner,3B,1946: Game 1
683,8,Frankie Hayes,C,1946: Game 1
684,9,Bob Feller,P,1946: Game 1
685,,Manager,,1946: Game 1
686,,Steve O'Neill,,1946: Game 1
687,,Reserves,,1946: Game 1
688,,Bill Dickey,C,1946: Game 1
689,,Buddy Rosar,C,1946: Game 1
690,,Hal Wagner,C,1946: Game 1
691,,Rudy York,1B,1946: Game 1
692,,Joe Gordon,2B,1946: Game 1
693,,Snuffy Stirnweiss,3B,1946: Game 1
694,,Luke Appling,SS,1946: Game 1
695,,Vern Stephens,SS,1946: Game 1
696,,Sam Chapman,CF,1946: Game 1
697,,Joe DiMaggio,CF,1946: Game 1
698,,Stan Spence,CF,1946: Game 1
699,,Spud Chandler,P,1946: Game 1
700,,Dave Ferriss,P,1946: Game 1
701,,Mickey Harris,P,1946: Game 1
702,,Jack Kramer,P,1946: Game 1
703,,Hal Newhouser,P,1946: Game 1
704,1,George Kell,3B,1947: Game 1
705,2,Buddy Lewis,RF,1947: Game 1
706,3,Ted Williams,LF,1947: Game 1
707,4,Joe DiMaggio,CF,1947: Game 1
708,5,Lou Boudreau,SS,1947: Game 1
709,6,George McQuinn,1B,1947: Game 1
710,7,Joe Gordon,2B,1947: Game 1
711,8,Buddy Rosar,C,1947: Game 1
712,9,Hal Newhouser,P,1947: Game 1
713,,Manager,,1947: Game 1
714,,Joe Cronin,,1947: Game 1
715,,Reserves,,1947: Game 1
716,,Jim Hegan,C,1947: Game 1
717,,Aaron Robinson,C,1947: Game 1
718,,Rudy York,1B,1947: Game 1
719,,Bobby Doerr,2B,1947: Game 1
720,,Billy Johnson,3B,1947: Game 1
721,,Luke Appling,SS,1947: Game 1
722,,Charlie Keller,LF,1947: Game 1
723,,Stan Spence,CF,1947: Game 1
724,,Tommy Henrich,RF,1947: Game 1
725,,Pat Mullin,RF,1947: Game 1
726,,Spud Chandler,P,1947: Game 1
727,,Bob Feller,P,1947: Game 1
728,,Jack Kramer,P,1947: Game 1
729,,Walt Masterson,P,1947: Game 1
730,,Joe Page,P,1947: Game 1
731,,Spec Shea,P,1947: Game 1
732,,Dizzy Trout,P,1947: Game 1
733,,Early Wynn,P,1947: Game 1
734,1,Harry Walker,CF,1947: Game 1
735,2,Dixie Walker,RF,1947: Game 1
736,3,Walker Cooper,C,1947: Game 1
737,4,Johnny Mize,1B,1947: Game 1
738,5,Enos Slaughter,LF,1947: Game 1
739,6,Frankie Gustine,3B,1947: Game 1
740,7,Marty Marion,SS,1947: Game 1
741,8,Emil Verban,2B,1947: Game 1
742,9,Ewell Blackwell,P,1947: Game 1
743,,Manager,,1947: Game 1
744,,Eddie Dyer,,1947: Game 1
745,,Reserves,,1947: Game 1
746,,Bruce Edwards,C,1947: Game 1
747,,Phil Masi,C,1947: Game 1
748,,Bert Haas,1B,1947: Game 1
749,,Stan Musial,1B,1947: Game 1
750,,Eddie Stanky,2B,1947: Game 1
751,,Bob Elliott,3B,1947: Game 1
752,,Whitey Kurowski,3B,1947: Game 1
753,,Eddie Miller,SS,1947: Game 1
754,,Pee Wee Reese,SS,1947: Game 1
755,,Phil Cavarretta,LF,1947: Game 1
756,,Andy Pafko,CF,1947: Game 1
757,,Willard Marshall,RF,1947: Game 1
758,,Ralph Branca,P,1947: Game 1
759,,Harry Brecheen,P,1947: Game 1
760,,Red Munger,P,1947: Game 1
761,,Schoolboy Rowe,P,1947: Game 1
762,,Johnny Sain,P,1947: Game 1
763,,Warren Spahn,P,1947: Game 1
764,1,Richie Ashburn,CF,1948: Game 1
765,2,Red Schoendienst,2B,1948: Game 1
766,3,Stan Musial,LF,1948: Game 1
767,4,Johnny Mize,1B,1948: Game 1
768,5,Enos Slaughter,RF,1948: Game 1
769,6,Andy Pafko,3B,1948: Game 1
770,7,Walker Cooper,C,1948: Game 1
771,8,Pee Wee Reese,SS,1948: Game 1
772,9,Ralph Branca,P,1948: Game 1
773,,Manager,,1948: Game 1
774,,Leo Durocher,,1948: Game 1
775,,Reserves,,1948: Game 1
776,,Phil Masi,C,1948: Game 1
777,,Clyde McCullough,C,1948: Game 1
778,,Eddie Waitkus,1B,1948: Game 1
779,,Bill Rigney,2B,1948: Game 1
780,,Eddie Stanky,2B,1948: Game 1
781,,Bob Elliott,3B,1948: Game 1
782,,Sid Gordon,3B,1948: Game 1
783,,Frankie Gustine,3B,1948: Game 1
784,,Buddy Kerr,SS,1948: Game 1
785,,Marty Marion,SS,1948: Game 1
786,,Ralph Kiner,LF,1948: Game 1
787,,Bobby Thomson,CF,1948: Game 1
788,,Tommy Holmes,RF,1948: Game 1
789,,Ewell Blackwell,P,1948: Game 1
790,,Harry Brecheen,P,1948: Game 1
791,,Elmer Riddle,P,1948: Game 1
792,,Johnny Sain,P,1948: Game 1
793,,Johnny Schmitz,P,1948: Game 1
794,1,Pat Mullin,RF,1948: Game 1
795,2,Tommy Henrich,LF,1948: Game 1
796,3,Lou Boudreau,SS,1948: Game 1
797,4,Joe Gordon,2B,1948: Game 1
798,5,Hoot Evers,CF,1948: Game 1
799,6,Ken Keltner,3B,1948: Game 1
800,7,George McQuinn,1B,1948: Game 1
801,8,Buddy Rosar,C,1948: Game 1
802,9,Walt Masterson,P,1948: Game 1
803,,Manager,,1948: Game 1
804,,Bucky Harris,,1948: Game 1
805,,Reserves,,1948: Game 1
806,,Yogi Berra,C,1948: Game 1
807,,Birdie Tebbetts,C,1948: Game 1
808,,Mickey Vernon,1B,1948: Game 1
809,,Bobby Doerr,2B,1948: Game 1
810,,George Kell,3B,1948: Game 1
811,,Vern Stephens,SS,1948: Game 1
812,,Ted Williams,LF,1948: Game 1
813,,Joe DiMaggio,CF,1948: Game 1
814,,Al Zarilla,RF,1948: Game 1
815,,Joe Coleman,P,1948: Game 1
816,,Joe Dobson,P,1948: Game 1
817,,Bob Feller,P,1948: Game 1
818,,Joe Haynes,P,1948: Game 1
819,,Bob Lemon,P,1948: Game 1
820,,Hal Newhouser,P,1948: Game 1
821,,Joe Page,P,1948: Game 1
822,,Vic Raschi,P,1948: Game 1
823,1,Dom DiMaggio,RF,1949: Game 1
824,2,George Kell,3B,1949: Game 1
825,3,Ted Williams,LF,1949: Game 1
826,4,Joe DiMaggio,CF,1949: Game 1
827,5,Eddie Joost,SS,1949: Game 1
828,6,Eddie Robinson,1B,1949: Game 1
829,7,Cass Michaels,2B,1949: Game 1
830,8,Birdie Tebbetts,C,1949: Game 1
831,9,Mel Parnell,P,1949: Game 1
832,,Manager,,1949: Game 1
833,,Lou Boudreau,,1949: Game 1
834,,Reserves,,1949: Game 1
835,,Yogi Berra,C,1949: Game 1
836,,Jim Hegan,C,1949: Game 1
837,,Billy Goodman,1B,1949: Game 1
838,,Joe Gordon,2B,1949: Game 1
839,,Bob Dillinger,3B,1949: Game 1
840,,Vern Stephens,SS,1949: Game 1
841,,Dale Mitchell,LF,1949: Game 1
842,,Larry Doby,CF,1949: Game 1
843,,Tommy Henrich,RF,1949: Game 1
844,,Vic Wertz,RF,1949: Game 1
845,,Lou Brissie,P,1949: Game 1
846,,Alex Kellner,P,1949: Game 1
847,,Bob Lemon,P,1949: Game 1
848,,Vic Raschi,P,1949: Game 1
849,,Allie Reynolds,P,1949: Game 1
850,,Virgil Trucks,P,1949: Game 1
851,1,Pee Wee Reese,SS,1949: Game 1
852,2,Jackie Robinson,2B,1949: Game 1
853,3,Stan Musial,CF,1949: Game 1
854,4,Ralph Kiner,LF,1949: Game 1
855,5,Johnny Mize,1B,1949: Game 1
856,6,Willard Marshall,RF,1949: Game 1
857,7,Eddie Kazak,3B,1949: Game 1
858,8,Andy Seminick,C,1949: Game 1
859,9,Warren Spahn,P,1949: Game 1
860,,Manager,,1949: Game 1
861,,Billy Southworth,,1949: Game 1
862,,Reserves,,1949: Game 1
863,,Roy Campanella,C,1949: Game 1
864,,Walker Cooper,C,1949: Game 1
865,,Gil Hodges,1B,1949: Game 1
866,,Eddie Waitkus,1B,1949: Game 1
867,,Red Schoendienst,2B,1949: Game 1
868,,Sid Gordon,3B,1949: Game 1
869,,Marty Marion,SS,1949: Game 1
870,,Enos Slaughter,LF,1949: Game 1
871,,Andy Pafko,CF,1949: Game 1
872,,Bobby Thomson,CF,1949: Game 1
873,,Vern Bickford,P,1949: Game 1
874,,Ewell Blackwell,P,1949: Game 1
875,,Ralph Branca,P,1949: Game 1
876,,Red Munger,P,1949: Game 1
877,,Don Newcombe,P,1949: Game 1
878,,Howie Pollet,P,1949: Game 1
879,,Preacher Roe,P,1949: Game 1
880,1,Willie Jones,3B,1950: Game 1
881,2,Ralph Kiner,LF,1950: Game 1
882,3,Stan Musial,1B,1950: Game 1
883,4,Jackie Robinson,2B,1950: Game 1
884,5,Enos Slaughter,CF,1950: Game 1
885,6,Hank Sauer,RF,1950: Game 1
886,7,Roy Campanella,C,1950: Game 1
887,8,Marty Marion,SS,1950: Game 1
888,9,Robin Roberts,P,1950: Game 1
889,,Manager,,1950: Game 1
890,,Burt Shotton,,1950: Game 1
891,,Reserves,,1950: Game 1
892,,Walker Cooper,C,1950: Game 1
893,,Gil Hodges,1B,1950: Game 1
894,,Red Schoendienst,2B,1950: Game 1
895,,Eddie Stanky,2B,1950: Game 1
896,,Pee Wee Reese,SS,1950: Game 1
897,,Dick Sisler,LF,1950: Game 1
898,,Andy Pafko,CF,1950: Game 1
899,,Duke Snider,CF,1950: Game 1
900,,Johnny Wyrostek,RF,1950: Game 1
901,,Ewell Blackwell,P,1950: Game 1
902,,Larry Jansen,P,1950: Game 1
903,,Jim Konstanty,P,1950: Game 1
904,,Don Newcombe,P,1950: Game 1
905,,Preacher Roe,P,1950: Game 1
906,,Bob Rush,P,1950: Game 1
907,,Warren Spahn,P,1950: Game 1
908,1,Phil Rizzuto,SS,1950: Game 1
909,2,Larry Doby,CF,1950: Game 1
910,3,George Kell,3B,1950: Game 1
911,4,Ted Williams,LF,1950: Game 1
912,5,Walt Dropo,1B,1950: Game 1
913,6,Hoot Evers,RF,1950: Game 1
914,7,Yogi Berra,C,1950: Game 1
915,8,Bobby Doerr,2B,1950: Game 1
916,9,Vic Raschi,P,1950: Game 1
917,,Manager,,1950: Game 1
918,,Casey Stengel,,1950: Game 1
919,,Reserves,,1950: Game 1
920,,Jim Hegan,C,1950: Game 1
921,,Sherm Lollar,C,1950: Game 1
922,,Ferris Fain,1B,1950: Game 1
923,,Tommy Henrich,1B,1950: Game 1
924,,Jerry Coleman,2B,1950: Game 1
925,,Cass Michaels,2B,1950: Game 1
926,,Vern Stephens,SS,1950: Game 1
927,,Dom DiMaggio,CF,1950: Game 1
928,,Joe DiMaggio,CF,1950: Game 1
929,,Tommy Byrne,P,1950: Game 1
930,,Bob Feller,P,1950: Game 1
931,,Ted Gray,P,1950: Game 1
932,,Art Houtteman,P,1950: Game 1
933,,Bob Lemon,P,1950: Game 1
934,,Allie Reynolds,P,1950: Game 1
935,,Ray Scarborough,P,1950: Game 1
936,1,Richie Ashburn,CF,1951: Game 1
937,2,Al Dark,SS,1951: Game 1
938,3,Stan Musial,LF,1951: Game 1
939,4,Jackie Robinson,2B,1951: Game 1
940,5,Gil Hodges,1B,1951: Game 1
941,6,Bob Elliott,3B,1951: Game 1
942,7,Del Ennis,RF,1951: Game 1
943,8,Roy Campanella,C,1951: Game 1
944,9,Robin Roberts,P,1951: Game 1
945,,Manager,,1951: Game 1
946,,Eddie Sawyer,,1951: Game 1
947,,Reserves,,1951: Game 1
948,,Bruce Edwards,C,1951: Game 1
949,,Ralph Kiner,1B,1951: Game 1
950,,Red Schoendienst,2B,1951: Game 1
951,,Willie Jones,3B,1951: Game 1
952,,Wally Westlake,3B,1951: Game 1
953,,Pee Wee Reese,SS,1951: Game 1
954,,Duke Snider,CF,1951: Game 1
955,,Enos Slaughter,RF,1951: Game 1
956,,Johnny Wyrostek,RF,1951: Game 1
957,,Ewell Blackwell,P,1951: Game 1
958,,Larry Jansen,P,1951: Game 1
959,,Dutch Leonard,P,1951: Game 1
960,,Sal Maglie,P,1951: Game 1
961,,Don Newcombe,P,1951: Game 1
962,,Preacher Roe,P,1951: Game 1
963,,Warren Spahn,P,1951: Game 1
964,1,Dom DiMaggio,CF,1951: Game 1
965,2,Nellie Fox,2B,1951: Game 1
966,3,George Kell,3B,1951: Game 1
967,4,Ted Williams,LF,1951: Game 1
968,5,Yogi Berra,C,1951: Game 1
969,6,Vic Wertz,RF,1951: Game 1
970,7,Ferris Fain,1B,1951: Game 1
971,8,Chico Carrasquel,SS,1951: Game 1
972,9,Ned Garver,P,1951: Game 1
973,,Manager,,1951: Game 1
974,,Casey Stengel,,1951: Game 1
975,,Reserves,,1951: Game 1
976,,Jim Hegan,C,1951: Game 1
977,,Eddie Robinson,1B,1951: Game 1
978,,Bobby Doerr,2B,1951: Game 1
979,,Vern Stephens,3B,1951: Game 1
980,,Phil Rizzuto,SS,1951: Game 1
981,,Minnie Minoso,LF,1951: Game 1
982,,Jim Busby,CF,1951: Game 1
983,,Joe DiMaggio,CF,1951: Game 1
984,,Larry Doby,CF,1951: Game 1
985,,Randy Gumpert,P,1951: Game 1
986,,Fred Hutchinson,P,1951: Game 1
987,,Bob Lemon,P,1951: Game 1
988,,Eddie Lopat,P,1951: Game 1
989,,Connie Marrero,P,1951: Game 1
990,,Mel Parnell,P,1951: Game 1
991,,Bobby Shantz,P,1951: Game 1
992,1,Dom DiMaggio,CF,1952: Game 1
993,2,Hank Bauer,RF,1952: Game 1
994,3,Dale Mitchell,LF,1952: Game 1
995,4,Al Rosen,3B,1952: Game 1
996,5,Yogi Berra,C,1952: Game 1
997,6,Eddie Robinson,1B,1952: Game 1
998,7,Bobby Avila,2B,1952: Game 1
999,8,Phil Rizzuto,SS,1952: Game 1
1000,9,Vic Raschi,P,1952: Game 1
1001,,Manager,,1952: Game 1
1002,,Casey Stengel,,1952: Game 1
1003,,Reserves,,1952: Game 1
1004,,Jim Hegan,C,1952: Game 1
1005,,Ferris Fain,1B,1952: Game 1
1006,,Nellie Fox,2B,1952: Game 1
1007,,George Kell,3B,1952: Game 1
1008,,Gil McDougald,3B,1952: Game 1
1009,,Eddie Yost,3B,1952: Game 1
1010,,Eddie Joost,SS,1952: Game 1
1011,,Larry Doby,CF,1952: Game 1
1012,,Mickey Mantle,CF,1952: Game 1
1013,,Minnie Minoso,CF,1952: Game 1
1014,,Jackie Jensen,RF,1952: Game 1
1015,,Vic Wertz,RF,1952: Game 1
1016,,Mike Garcia,P,1952: Game 1
1017,,Bob Lemon,P,1952: Game 1
1018,,Satchel Paige,P,1952: Game 1
1019,,Allie Reynolds,P,1952: Game 1
1020,,Bobby Shantz,P,1952: Game 1
1021,1,Whitey Lockman,1B,1952: Game 1
1022,2,Jackie Robinson,2B,1952: Game 1
1023,3,Stan Musial,CF,1952: Game 1
1024,4,Hank Sauer,LF,1952: Game 1
1025,5,Roy Campanella,C,1952: Game 1
1026,6,Enos Slaughter,RF,1952: Game 1
1027,7,Bobby Thomson,3B,1952: Game 1
1028,8,Granny Hamner,SS,1952: Game 1
1029,9,Curt Simmons,P,1952: Game 1
1030,,Manager,,1952: Game 1
1031,,Leo Durocher,,1952: Game 1
1032,,Reserves,,1952: Game 1
1033,,Toby Atwell,C,1952: Game 1
1034,,Wes Westrum,C,1952: Game 1
1035,,Gil Hodges,1B,1952: Game 1
1036,,Grady Hatton,2B,1952: Game 1
1037,,Red Schoendienst,2B,1952: Game 1
1038,,Al Dark,SS,1952: Game 1
1039,,Pee Wee Reese,SS,1952: Game 1
1040,,Ralph Kiner,LF,1952: Game 1
1041,,Duke Snider,CF,1952: Game 1
1042,,Carl Furillo,RF,1952: Game 1
1043,,Monte Irvin,OF,1952: Game 1
1044,,Jim Hearn,P,1952: Game 1
1045,,Sal Maglie,P,1952: Game 1
1046,,Robin Roberts,P,1952: Game 1
1047,,Preacher Roe,P,1952: Game 1
1048,,Bob Rush,P,1952: Game 1
1049,,Warren Spahn,P,1952: Game 1
1050,,Gerry Staley,P,1952: Game 1
1051,1,Billy Goodman,2B,1953: Game 1
1052,2,Mickey Vernon,1B,1953: Game 1
1053,3,Hank Bauer,RF,1953: Game 1
1054,4,Mickey Mantle,CF,1953: Game 1
1055,5,Al Rosen,3B,1953: Game 1
1056,6,Gus Zernial,LF,1953: Game 1
1057,7,Yogi Berra,C,1953: Game 1
1058,8,Chico Carrasquel,SS,1953: Game 1
1059,9,Billy Pierce,P,1953: Game 1
1060,,Manager,,1953: Game 1
1061,,Casey Stengel,,1953: Game 1
1062,,Reserves,,1953: Game 1
1063,,Sammy White,C,1953: Game 1
1064,,Ferris Fain,1B,1953: Game 1
1065,,Johnny Mize,1B,1953: Game 1
1066,,Eddie Robinson,1B,1953: Game 1
1067,,Nellie Fox,2B,1953: Game 1
1068,,George Kell,3B,1953: Game 1
1069,,Billy Hunter,SS,1953: Game 1
1070,,Harvey Kuenn,SS,1953: Game 1
1071,,Phil Rizzuto,SS,1953: Game 1
1072,,Minnie Minoso,LF,1953: Game 1
1073,,Ted Williams,LF,1953: Game 1
1074,,Larry Doby,CF,1953: Game 1
1075,,Mike Garcia,P,1953: Game 1
1076,,Bob Lemon,P,1953: Game 1
1077,,Satchel Paige,P,1953: Game 1
1078,,Allie Reynolds,P,1953: Game 1
1079,,Johnny Sain,P,1953: Game 1
1080,1,Pee Wee Reese,SS,1953: Game 1
1081,2,Red Schoendienst,2B,1953: Game 1
1082,3,Stan Musial,LF,1953: Game 1
1083,4,Ted Kluszewski,1B,1953: Game 1
1084,5,Roy Campanella,C,1953: Game 1
1085,6,Eddie Mathews,3B,1953: Game 1
1086,7,Gus Bell,CF,1953: Game 1
1087,8,Enos Slaughter,RF,1953: Game 1
1088,9,Robin Roberts,P,1953: Game 1
1089,,Manager,,1953: Game 1
1090,,Chuck Dressen,,1953: Game 1
1091,,Reserves,,1953: Game 1
1092,,Del Crandall,C,1953: Game 1
1093,,Clyde McCullough,C,1953: Game 1
1094,,Del Rice,C,1953: Game 1
1095,,Wes Westrum,C,1953: Game 1
1096,,Gil Hodges,1B,1953: Game 1
1097,,Davey Williams,2B,1953: Game 1
1098,,Jackie Robinson,3B,1953: Game 1
1099,,Granny Hamner,SS,1953: Game 1
1100,,Ralph Kiner,LF,1953: Game 1
1101,,Richie Ashburn,CF,1953: Game 1
1102,,Duke Snider,CF,1953: Game 1
1103,,Carl Furillo,RF,1953: Game 1
1104,,Murry Dickson,P,1953: Game 1
1105,,Harvey Haddix,P,1953: Game 1
1106,,Curt Simmons,P,1953: Game 1
1107,,Warren Spahn,P,1953: Game 1
1108,,Gerry Staley,P,1953: Game 1
1109,,Hoyt Wilhelm,P,1953: Game 1
1110,1,Granny Hamner,2B,1954: Game 1
1111,2,Al Dark,SS,1954: Game 1
1112,3,Duke Snider,CF,1954: Game 1
1113,4,Stan Musial,RF,1954: Game 1
1114,5,Ted Kluszewski,1B,1954: Game 1
1115,6,Ray Jablonski,3B,1954: Game 1
1116,7,Jackie Robinson,LF,1954: Game 1
1117,8,Roy Campanella,C,1954: Game 1
1118,9,Robin Roberts,P,1954: Game 1
1119,,Manager,,1954: Game 1
1120,,Walter Alston,,1954: Game 1
1121,,Reserves,,1954: Game 1
1122,,Smoky Burgess,C,1954: Game 1
1123,,Del Crandall,C,1954: Game 1
1124,,Gil Hodges,1B,1954: Game 1
1125,,Red Schoendienst,2B,1954: Game 1
1126,,Randy Jackson,3B,1954: Game 1
1127,,Pee Wee Reese,SS,1954: Game 1
1128,,Frank Thomas,LF,1954: Game 1
1129,,Gus Bell,CF,1954: Game 1
1130,,Willie Mays,CF,1954: Game 1
1131,,Don Mueller,RF,1954: Game 1
1132,,Johnny Antonelli,P,1954: Game 1
1133,,Gene Conley,P,1954: Game 1
1134,,Carl Erskine,P,1954: Game 1
1135,,Marv Grissom,P,1954: Game 1
1136,,Harvey Haddix,P,1954: Game 1
1137,,Warren Spahn,P,1954: Game 1
1138,,Jim Wilson,P,1954: Game 1
1139,1,Minnie Minoso,LF,1954: Game 1
1140,2,Bobby Avila,2B,1954: Game 1
1141,3,Mickey Mantle,CF,1954: Game 1
1142,4,Yogi Berra,C,1954: Game 1
1143,5,Al Rosen,1B,1954: Game 1
1144,6,Ray Boone,3B,1954: Game 1
1145,7,Hank Bauer,RF,1954: Game 1
1146,8,Chico Carrasquel,SS,1954: Game 1
1147,9,Whitey Ford,P,1954: Game 1
1148,,Manager,,1954: Game 1
1149,,Casey Stengel,,1954: Game 1
1150,,Reserves,,1954: Game 1
1151,,Sherm Lollar,C,1954: Game 1
1152,,Ferris Fain,1B,1954: Game 1
1153,,Mickey Vernon,1B,1954: Game 1
1154,,Nellie Fox,2B,1954: Game 1
1155,,Jim Finigan,3B,1954: Game 1
1156,,George Kell,3B,1954: Game 1
1157,,Harvey Kuenn,SS,1954: Game 1
1158,,Irv Noren,LF,1954: Game 1
1159,,Ted Williams,LF,1954: Game 1
1160,,Larry Doby,CF,1954: Game 1
1161,,Jim Piersall,RF,1954: Game 1
1162,,Sandy Consuegra,P,1954: Game 1
1163,,Mike Garcia,P,1954: Game 1
1164,,Bob Keegan,P,1954: Game 1
1165,,Bob Lemon,P,1954: Game 1
1166,,Bob Porterfield,P,1954: Game 1
1167,,Allie Reynolds,P,1954: Game 1
1168,,Dean Stone,P,1954: Game 1
1169,,Virgil Trucks,P,1954: Game 1
1170,,Bob Turley,P,1954: Game 1
1171,1,Harvey Kuenn,SS,1955: Game 1
1172,2,Nellie Fox,2B,1955: Game 1
1173,3,Ted Williams,LF,1955: Game 1
1174,4,Mickey Mantle,CF,1955: Game 1
1175,5,Yogi Berra,C,1955: Game 1
1176,6,Al Kaline,RF,1955: Game 1
1177,7,Mickey Vernon,1B,1955: Game 1
1178,8,Jim Finigan,3B,1955: Game 1
1179,9,Billy Pierce,P,1955: Game 1
1180,,Manager,,1955: Game 1
1181,,Al Lopez,,1955: Game 1
1182,,Reserves,,1955: Game 1
1183,,Sherm Lollar,C,1955: Game 1
1184,,Vic Power,1B,1955: Game 1
1185,,Bobby Avila,2B,1955: Game 1
1186,,Al Rosen,3B,1955: Game 1
1187,,Chico Carrasquel,SS,1955: Game 1
1188,,Larry Doby,CF,1955: Game 1
1189,,Jackie Jensen,RF,1955: Game 1
1190,,Al Smith,RF,1955: Game 1
1191,,Dick Donovan,P,1955: Game 1
1192,,Whitey Ford,P,1955: Game 1
1193,,Billy Hoeft,P,1955: Game 1
1194,,Herb Score,P,1955: Game 1
1195,,Frank Sullivan,P,1955: Game 1
1196,,Bob Turley,P,1955: Game 1
1197,,Jim Wilson,P,1955: Game 1
1198,,Early Wynn,P,1955: Game 1
1199,1,Red Schoendienst,2B,1955: Game 1
1200,2,Del Ennis,LF,1955: Game 1
1201,3,Duke Snider,CF,1955: Game 1
1202,4,Ted Kluszewski,1B,1955: Game 1
1203,5,Eddie Mathews,3B,1955: Game 1
1204,6,Don Mueller,RF,1955: Game 1
1205,7,Ernie Banks,SS,1955: Game 1
1206,8,Del Crandall,C,1955: Game 1
1207,9,Robin Roberts,P,1955: Game 1
1208,,Manager,,1955: Game 1
1209,,Leo Durocher,,1955: Game 1
1210,,Reserves,,1955: Game 1
1211,,Smoky Burgess,C,1955: Game 1
1212,,Roy Campanella,C,1955: Game 1
1213,,Stan Lopata,C,1955: Game 1
1214,,Gil Hodges,1B,1955: Game 1
1215,,Stan Musial,1B,1955: Game 1
1216,,Gene Baker,2B,1955: Game 1
1217,,Randy Jackson,3B,1955: Game 1
1218,,Johnny Logan,SS,1955: Game 1
1219,,Willie Mays,CF,1955: Game 1
1220,,Frank Thomas,CF,1955: Game 1
1221,,Henry Aaron,RF,1955: Game 1
1222,,Luis Arroyo,P,1955: Game 1
1223,,Gene Conley,P,1955: Game 1
1224,,Harvey Haddix,P,1955: Game 1
1225,,Sam Jones,P,1955: Game 1
1226,,Don Newcombe,P,1955: Game 1
1227,,Joe Nuxhall,P,1955: Game 1
1228,1,Johnny Temple,2B,1956: Game 1
1229,2,Frank Robinson,LF,1956: Game 1
1230,3,Stan Musial,RF,1956: Game 1
1231,4,Ken Boyer,3B,1956: Game 1
1232,5,Gus Bell,CF,1956: Game 1
1233,6,Dale Long,1B,1956: Game 1
1234,7,Ed Bailey,C,1956: Game 1
1235,8,Roy McMillan,SS,1956: Game 1
1236,9,Bob Friend,P,1956: Game 1
1237,,Manager,,1956: Game 1
1238,,Walter Alston,,1956: Game 1
1239,,Reserves,,1956: Game 1
1240,,Roy Campanella,C,1956: Game 1
1241,,Del Crandall,C,1956: Game 1
1242,,Stan Lopata,C,1956: Game 1
1243,,Ted Kluszewski,1B,1956: Game 1
1244,,Jim Gilliam,2B,1956: Game 1
1245,,Eddie Mathews,3B,1956: Game 1
1246,,Ernie Banks,SS,1956: Game 1
1247,,Rip Repulski,LF,1956: Game 1
1248,,Willie Mays,CF,1956: Game 1
1249,,Duke Snider,CF,1956: Game 1
1250,,Henry Aaron,RF,1956: Game 1
1251,,Johnny Antonelli,P,1956: Game 1
1252,,Clem Labine,P,1956: Game 1
1253,,Brooks Lawrence,P,1956: Game 1
1254,,Joe Nuxhall,P,1956: Game 1
1255,,Robin Roberts,P,1956: Game 1
1256,,Warren Spahn,P,1956: Game 1
1257,1,Harvey Kuenn,SS,1956: Game 1
1258,2,Nellie Fox,2B,1956: Game 1
1259,3,Ted Williams,LF,1956: Game 1
1260,4,Mickey Mantle,CF,1956: Game 1
1261,5,Yogi Berra,C,1956: Game 1
