,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Jahmi'us Ramsey,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/2021
Team Totals,SAC,240,42,80,.525,10,30,.333,18,22,.818,4,33,37,27,8,7,8,21,112,,11/3/2021
Harrison Barnes,SAC,37:46,6,15,.400,1,6,.167,9,11,.818,0,4,4,5,2,0,0,0,22,-14,11/7/2021
De'Aaron Fox,SAC,34:46,7,19,.368,1,3,.333,2,2,1.000,0,3,3,2,3,0,3,3,17,-14,11/7/2021
Tyrese Haliburton,SAC,33:40,7,14,.500,3,6,.500,0,0,,2,1,3,1,3,0,3,1,17,-6,11/7/2021
Richaun Holmes,SAC,27:34,2,4,.500,0,0,,7,7,1.000,1,8,9,0,0,1,2,3,11,-6,11/7/2021
Maurice Harkless,SAC,20:45,0,4,.000,0,4,.000,0,0,,0,2,2,1,2,0,0,3,0,+5,11/7/2021
Buddy Hield,SAC,31:53,6,16,.375,5,12,.417,0,0,,2,2,4,2,3,1,2,3,17,+9,11/7/2021
Davion Mitchell,SAC,28:21,1,7,.143,0,1,.000,0,0,,2,1,3,6,1,1,1,2,2,+6,11/7/2021
Alex Len,SAC,20:14,2,3,.667,0,1,.000,1,2,.500,1,4,5,3,0,3,1,2,5,+2,11/7/2021
Terence Davis,SAC,5:01,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+3,11/7/2021
Marvin Bagley III,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/7/2021
Damian Jones,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/7/2021
Chimezie Metu,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/7/2021
Jahmi'us Ramsey,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/7/2021
Tristan Thompson,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/7/2021
Team Totals,SAC,240,31,84,.369,10,34,.294,19,22,.864,8,25,33,20,14,6,12,18,91,,11/7/2021
De'Aaron Fox,SAC,26:54,8,13,.615,0,1,.000,1,3,.333,0,1,1,3,2,0,2,1,17,-22,11/19/2021
Harrison Barnes,SAC,25:53,3,9,.333,0,2,.000,8,8,1.000,0,1,1,3,1,0,4,4,14,-15,11/19/2021
Chimezie Metu,SAC,25:02,4,11,.364,2,5,.400,0,0,,1,8,9,0,1,1,2,0,10,-15,11/19/2021
Tyrese Haliburton,SAC,24:47,3,5,.600,2,4,.500,0,0,,1,3,4,0,3,1,1,2,8,-14,11/19/2021
