,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
197,Domantas Sabonis,SAC,36:50,12.0,20.0,0.6,1.0,1.0,1.0,5.0,7.0,0.714,6.0,14.0,20.0,5.0,1.0,1.0,4.0,3.0,30.0,-2.0,3/18/2022,1,28.39999999999999
198,Davion Mitchell,SAC,35:09,5.0,14.0,0.357,1.0,4.0,0.25,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,12.0,-25.0,3/18/2022,1,2.400000000000002
199,Trey Lyles,SAC,31:41,5.0,9.0,0.556,3.0,5.0,0.6,6.0,6.0,1.0,1.0,5.0,6.0,4.0,0.0,1.0,1.0,1.0,19.0,-7.0,3/18/2022,1,19.0
200,Harrison Barnes,SAC,24:18,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-29.0,3/18/2022,1,-2.2
201,Donte DiVincenzo,SAC,29:53,0.0,6.0,0.0,0.0,5.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,8.0,0.0,0.0,2.0,1.0,3.0,-13.0,3/18/2022,1,2.2
202,Chimezie Metu,SAC,22:40,3.0,8.0,0.375,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,3.0,3.0,10.0,-12.0,3/18/2022,1,4.3
203,Damian Jones,SAC,11:10,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-27.0,3/18/2022,1,0.9
204,Maurice Harkless,SAC,4:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.0,3/18/2022,1,-0.4
205,Josh Jackson,SAC,3:25,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,3/18/2022,1,-1.4
208,Davion Mitchell,SAC,46:12,9.0,22.0,0.409,4.0,7.0,0.571,6.0,6.0,1.0,0.0,3.0,3.0,9.0,1.0,0.0,5.0,3.0,28.0,6.0,3/20/2022,1,18.200000000000003
