,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
105,Sandro Mamukelashvili,SAS,7:30,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,8.0,12/29/23,1,2.3000000000000003
108,Devin Booker,PHO,36:28,9.0,20.0,0.45,0.0,3.0,0.0,6.0,9.0,0.667,2.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,24.0,-24.0,12/22/23,1,18.900000000000002
109,Kevin Durant,PHO,34:04,9.0,14.0,0.643,2.0,3.0,0.667,8.0,9.0,0.889,0.0,7.0,7.0,2.0,1.0,0.0,7.0,0.0,28.0,-14.0,12/22/23,1,18.900000000000006
110,Grayson Allen,PHO,29:57,4.0,10.0,0.4,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,11.0,-20.0,12/22/23,1,11.299999999999999
111,Eric Gordon,PHO,24:43,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,-25.0,12/22/23,1,1.5
112,Drew Eubanks,PHO,14:34,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,-23.0,12/22/23,1,-0.4999999999999998
113,Udoka Azubuike,PHO,22:22,5.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,5.0,6.0,11.0,2.0,0.0,1.0,1.0,4.0,11.0,1.0,12/22/23,1,13.9
114,Saben Lee,PHO,19:43,2.0,8.0,0.25,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,6.0,11.0,12/22/23,1,5.2
115,Nassir Little,PHO,16:04,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,0.0,12/22/23,1,0.40000000000000036
116,Jordan Goodwin,PHO,14:00,1.0,6.0,0.167,0.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,12/22/23,1,-0.2999999999999994
117,Chimezie Metu,PHO,13:01,3.0,6.0,0.5,0.0,2.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,10.0,5.0,12/22/23,1,7.199999999999999
